Script ID,Sentence,VT,Ambig ,Comp Q,Resp,,,,,
E4I2,The shrewd salesman figured that the prices would be going up soon.,SC,Unambiguous,Were the prices going to rise?,Y,,,,,
E4I3,The observant sleuth realized that the situation should be watched very closely.,SC,Unambiguous,Was the detective careful and aware?,Y,,,,,
E4I4,The account executive concluded that the speech had not gone very well,SC,Unambiguous,Did the speech please the executive?,N,,,,,
E4I5,The football fan inferred that the score was due to several injuries.,SC,Unambiguous,Were the players unscathed?,N,,,,,
E4I6,The friendly clerk indicated that the price would be halved next week.,SC,Unambiguous,Was the price steady?,N,,,,,
E4I7,The new receptionist admitted that the mistake should have been corrected sooner.,SC,Unambiguous,Should the receptionist have waited?,N,,,,,
E4I8,The famous researcher implied that the findings had been revealed too soon.,SC,Unambiguous,Were the findings revealed too early?,Y,,,,,
E9I1,The hero who destroyed the villain spent daylight hours in his lair.,SubEx,,Did the hero spend the day in the city?,N,,,,,
E9I2,The committee who met the applicant explained the reasoning for their decision.,SubEx,,Did the committee neglect to give a reason?,N,,,,,
E9I3,The expert who revered the source wrote a commentary on natural selection.,SubEx,,Did the expert write a poem?,N,,,,,
E9I4,The co-worker who intimidated the professional delayed his response to the question.,SubEx,,Did the co-worker answer right away?,N,,,,,
E9I5,The critic who acknowledged the writer discussed the strengths of the piece.,SubEx,,Did the critic discuss the weakness?,N,,,,,
E9I6,The bully who challenged the nerd began the quarrel with an insult.,SubEx,,Did the bully start with a complement?,N,,,,,
E9I7,The scientist who aided the technician assumed the blame for the error.,SubEx,,Did the scientist blame someone else?,N,,,,,
E9I8,The host who engaged the visitor described the route to the attractions.,SubEx,,Did the host describe the attractions?,N,,,,,
E9I9,The plumber who frustrated the janitor lost the key on the street.,SubEx,,Did the plumber lose the key?,Y,,,,,
E9I10,The hairdresser who hired the beautician transformed the salon for the better.,SubEx,,Did the hairdresser improve the salon?,Y,,,,,
E9I11,The lecturer who provoked the dean left the university in the summer.,SubEx,,Did the lecturer leave during the summer?,Y,,,,,
E9I12,The trumpeter who loved the drummer formed the band two years ago.,SubEx,,Did the trumpeter start the band?,Y,,,,,
E9I13,The intern who feared the boss disregarded the messages on her voicemail.,SubEx,,Did the intern ignore her voicemail?,Y,,,,,
E9I14,The roommate who annoyed the landlord slammed the door of the apartment.,SubEx,,Did the roommate close the door loudly?,Y,,,,,
E9I15,The player who avoided the coach entered the room at the gym.,SubEx,,Did the player come into the room?,Y,,,,,
E9I16,The mayor who called the advisor requested an update on the project.,SubEx,,Did the mayor ask for new project details?,Y,,,,,
E10I1,The librarian who the teacher angered misplaced the book from the depository. ,ObEx,,Did the librarian keep track of the book?,N,,,,,
E10I2,The pharmacist who the assistant helped placed the order for the drug.,ObEx,,Did the pharmacist order a coupon book?,N,,,,,
E10I3,The waitress who the bartender hugged dropped the tray on the floor.,ObEx,,Did the waitress drop the tray on the table?,N,,,,,
E10I4,The client who the retailer contacted offered a deal of the century.,ObEx,,Did the client retract a deal?,N,,,,,
E10I5,The celebrity who the athlete admired won the award at the ceremony.,ObEx,,Did the celebrity suffer a defeat?,N,,,,,
E10I6,The detective who the spy recognized crossed the street at the light.,ObEx,,Did the detective cross at the sign?,N,,,,,
E10I7,The journalist who the editor complimented revised the article for the newspaper.,ObEx,,Did the journalist work for a magazine?,N,,,,,
E10I8,The employee who the executive praised finished the project right on time.,ObEx,,Did the employee finish late?,N,,,,,
E10I9,The legislator who the senator visited falsified the documents for the trip.,ObEx,,Did the legislator use fake documents?,Y,,,,,
E10I10,The soldier who the enemy shot received a medal for the battle.,ObEx,,Did the soldier receive an honor?,Y,,,,,
E10I11,The officer who the murderer described told a lie about the past.,ObEx,,Did the officer say something that wasn't true?,Y,,,,,
E10I12,The reporter who the cameraman followed damaged the equipment during the trip.,ObEx,,Did the reporter break equipment?,Y,,,,,
E10I13,The understudy who the agent telephoned shared the news about the suicide.,ObEx,,Did the understudy talk about the death?,Y,,,,,
E10I14,The consultant who the programmer confronted broke the computer in a rage.,ObEx,,Did the consultant get angry?,Y,,,,,
E10I15,The supervisor who the owner deceived kept the money in the end.,ObEx,,Did the supervisor hold onto the money?,Y,,,,,
E10I16,The entrepreneur who the stockbroker hated sold shares after the merger.,ObEx,,Did the entrepreneur get rid of his shares? ,Y,,,,,
F11I1,The clerk at the records office clarified the confusing statement on the application.,Filler,Filler,Was the statement very straightforward?,N,,,,,
F11I2,The handsome prince offered but his bride's family declined the fortune.,Filler,Filler,Would the prince remain a bachelor?,N,,,,,
F11I3,The two friends wagered their allowance on who would get the highest test score.,Filler,Filler,Did the friends bet on a baseball game?,N,,,,,
F11I4,The mysterious woman divulged her deepest and darkest secrets to the bus driver.,Filler,Filler,Was the woman very shy?,N,,,,,
F11I5,The radio newscaster verified the short and exciting report before the broadcast.,Filler,Filler,Was the report true?,Y,,,,,
F11I6,The bargain shopper saw the beautiful and expensive raincoat after the sale was over.,Filler,Filler,Was the shopper careless with cash?,N,,,,,
F11I7,The exuberant team planned a huge and extravagant party for after the game.,Filler,Filler,Did the team feel good about things?,Y,,,,,
F11I8,The science teacher verified the unexpected results because she found them implausible.,Filler,Filler,Did the results seem strange?,Y,,,,,
F11I9,The temporary assistant saw the short and inappropriate memo while rummaging through the files.,Filler,Filler,Did the assistant notice the memo?,Y,,,,,
F11I10,The injured man imagined the attack while in the emergency room.,Filler,Filler,Had the man been assaulted?,Y,,,,,
F11I11,The worried mother determined the explanation for why her son had been avoiding her.,Filler,Filler,Was the mother concerned about her son?,Y,,,,,
F11I12,The flight attendant clarified the instructions when the passengers asked questions.,Filler,Filler,Was the flight attendant helpful?,Y,,,,,
F11I13,The church workers offered the kids a free bible and some coloring books.,Filler,Filler,Did the workers offer them food?,N,,,,,
F11I14,The curious girl comprehended the answer but asked the question again.,Filler,Filler,Did the girl understand the first time?,Y,,,,,
F11I15,The office staff raced but there was no clear winner.,Filler,Filler,Did someone come in first place?,N,,,,,
F11I16,The teacher's assistant divulged the purpose of her colleague's absence.,Filler,Filler,Did the assistant know the purpose?,Y,,,,,
F11I17,Many of the cheerleaders recalled the difficult and strenuous routine from last year's homecoming game.,Filler,Filler,Did the cheerleaders forget the routine?,N,,,,,
F11I18,The attorneys for the family disputed the authorities' version of what transpired.,Filler,Filler,Were the events completely agreed upon?,N,,,,,
F11I19,The wealthy investor regretted the bad and unfortunate decision once he realized the consequences.,Filler,Filler,Was the investor rich?,Y,,,,,
F11I20,The models in the fashion show revealed their stylish tank tops.,Filler,Filler,Were the models wearing sweaters?,N,,,,,
F11I21,The I.R.S. agent demanded the full amount the week following the audit.,Filler,Filler,Did the audit go well?,N,,,,,
F11I22,The poodle recognized his owner's scent on the clothing that was discovered.,Filler,Filler,Did the dog have a keen sense of smell?,Y,,,,,
F11I23,The waitress promised her regulars a free cup of coffee.,Filler,Filler,Would the regulars have eggs?,N,,,,,
F11I24,The foreign students sat down but couldn't understand the lecture.,Filler,Filler,Were the students a bit confused?,Y,,,,,
F11I25,The angry mob announced their demands but still refused to negotiate.,Filler,Filler,Did the mob want to compromise?,N,,,,,
F11I26,The nervous teenager lied to the judge to avoid incriminating his friend.,Filler,Filler,Did the witness commit perjury?,Y,,,,,
F11I27,The bored librarian painted her fingernails after shelving several books.,Filler,Filler,Was the librarian very busy?,N,,,,,
F11I28,The interior decorator hammered away and hung the painting on the wall.,Filler,Filler,Did the decorator hang a poster?,N,,,,,
F11I29,The new salesman insulted the stranger and she left the store.,Filler,Filler,Was the stranger satisfied?,N,,,,,
F11I30,The soccer player kicked the ball through the goalie's hands.,Filler,Filler,Did the soccer player score?,Y,,,,,
F11I31,The thoughtful daughter cared for her elderly mother.,Filler,Filler,Was the mother taken care of?,Y,,,,,
F11I32,The new homeowner slept in the room next to the garden.,Filler,Filler,Did the homeowner sleep near plants and shrubs?,Y,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
