Script ID,Item,Item type,Item question,Question Response
E2I7132,The lady that was elegant and wealthy snorted in disapproval as Neville woke up.,RAT- unambiguous,Did Neville wake up?,Y

E2I8133,The present that was extravagant and glittering sat on the table while the guest hid.,RAT- unambiguous,Did the guest hide?,Y

E2I9134,The salad that was fresh and green was prepared for dinner as the butler dressed.,RAT- unambiguous,Did the butler dress himself?,Y

E2I10135,The car that was red and flashy drove down the road while the handyman washed.,RAT- unambiguous,Did the handiman wash himself?,Y

E2I11136,The sheep that was fluffy and woolly bleated in its pen as Marcus shaved.,RAT- unambiguous,Did Marcus shave?,Y

E2I12137,The coach that was stern and formidable bought a victory lunch as the team calmed down.,RAT- unambiguous,Did the team calm down?,Y

F3I1138,As Mark packed the suitcase Neil called the travel agent.,filler1,Did Neil pack the suitcase? ,N

F3I2139,While the ambassador toured the country the bomb that was large and disastrous exploded in the capital.,filler1,Did the ambassador tour a castle? ,N

F3I3140,As the police chased the prisoner they crashed their car.,filler1,Did the prisoner crash his car? ,N

F3I4141,While the cashier bagged the groceries the customer that was flustered and rushing dropped the coupons.,filler1,Did the cashier drop the bag? ,N

F3I5142,As the repairman patched the roof that was leaky and slippery he fell on the tiles.,filler1,Did the repairman fix the floor? ,N

F3I6143,While the lawyer argued the case the jury that was arrogant and disrespectful slept in the courtroom.,filler1,Did the jury pay close attention? ,N

F3I7144,As the grandma recited the story the son read in bed.,filler1,Did the grandma sleep in bed? ,N

F3I8145,While Janis watched the fish she cleaned the tank.,filler1,Did Janis watch the cat? ,N

F3I9146,As Michael stirred the filling the crust that was golden and delicious baked in the oven.,filler1,Did the filling bake in the oven? ,N

F3I10147,While Alexander tasted the wine the butler answered the door.,filler1,Did the butler taste the wine? ,N

F3I11148,As the researcher compiled the data he created graphs.,filler1,Did a lab assistant create the graphs? ,N

F3I12149,While the father prepared the burgers he covered them with pepper.,filler1,Did the father cover the burgers with mustard? ,N

F3I13150,As Christy recited the monologue the sister that was bored and sleepy left the room.,filler1,Did Christ recite the monologue? ,Y

F3I14151,While Jennifer held the cigar that was aged and expensive she told bad jokes.,filler1,Did Jennifer tell bad jokes? ,Y

F3I15152,As the realtor sold the house that was large and brick she celebrated with her colleagues.,filler1,Did the realtor sell the house? ,Y

F3I16153,While the mother woke the son that was lazy and irresponsible she realized he was late for work.,filler1,Did the mother wake the son? ,Y

F3I17154,As the grandpa picked the raspberries that were large and ripe he saved them for the granddaughter.,filler1,Did the grandpa pick the raspberries? ,Y

F3I18155,While the man reversed the car he listened to the radio.,filler1,Did the man reverse the car? ,Y

F3I19156,As the cat chased the mouse that was small and grey it slid on the linoleum.,filler1,Did the cat chase the mouse? ,Y

F3I20157,While Richard dried the fruit that was ripe and delicious he bagged it for trail mix.,filler1,Did Richard dry the fruit? ,Y

F3I21158,As the waiter lit the candle that was tall and thin he took the couple's order.,filler1,Did the waiter light the candle? ,Y

F3I22159,While the kids teased the friend they watched the movie.,filler1,Did the kids watch the movie? ,Y

F3I23160,As the golfer swung the club the caddy pulled the cart.,filler1,Did the caddy pull the cart? ,Y

F3I24161,As the artist demonstrated the technique the painting that was exquisite and delicate fell off the easel.,filler1,Did the paiting fall off the easel? ,Y

F3I25162,While the woman jumped rope she sprained her ankle.,filler1,Did the woman jump rope? ,Y

F3I26163,While the archer aimed the bow the bird hid in the tree.,filler1,Did the archer aim the bow? ,Y

F3I27164,While the goalie smoothed the ice that was rough and melting he fell on the center line.,filler1,Did the goalie maitain his balance? ,N

F3I28165,As NASA launched the shuttle they taunted the Russians.,filler1,Did NASA reconcile with the Russians? ,N

F3I29166,As the chef sampled the sauce she boiled the noodles.,filler1,Did the chef make pastries? ,N

F3I30167,As the skier removed the skies he collapsed in the snow.,filler1,Did the skier keep his skies on? ,N

F3I31168,As the maid tidied the house she made the bed.,filler1,Did the maid vacuum the floor? ,N

F3I32169,As the contestant spun the wheel that was large and colorful she clapped her hands.,filler1,Did the contestant stay quiet? ,N

F3I33170,While the secretary made the photocopy that was brief and important she broke the Xerox machine.,filler1,Did the secretar send a fax? ,N

F3I34171,As the campers built the fire they gathered more wood.,filler1,Did the campers douse the fire? ,N

F3I35172,As the biologist observed the specimen the patient that was feverish and dying screamed in pain.,filler1,Did the patiet feel better? ,N

F3I36173,While the actor memorized the lines he walked his dog.,filler1,Did the actor walk aloe? ,N

F3I37174,While the ghost rattled the chains that were metal and heavy it woke the tired child.,filler1,Did the child rattle chains? ,N

F3I38175,As the salesman laced the shoe that was small and narrow he slid it on the customer's foot.,filler1,Did the customer wear a large and wide shoe? ,N

F3I39176,While the doctor injected the medicine that was green and bubbly he held the patient.,filler1,Did the doctor give the patient a pill? ,N

F3I40177,While the student used the clarinet the brother covered his ears.,filler1,Did the brother listen attetively? ,N

F3I41178,While the choir sang the hymn the child squirmed in the pew.,filler1,Did the child sing a hymn? ,N

F3I42179,While the minister married the couple he wore the robe.,filler1,Did the minister perform funeral services? ,N

F4I1180,The poodle sniffed the food as he scratched his ear.,filler1,Did the poodle sniff the food?,Y

F4I2181,Mabel fixed the socks while she watched the TV.,filler2,Did Mabel watch the fire? ,N

F4I3182,Joseph freed the bird that was red and yellow as the zookeeper watched in horror.,filler2,Did Joseph free the lion? ,N

F4I4183,The mother served the broccoli while the kids banged the table.,filler2,Did the kids bang the gong? ,N

F4I5184,The tornado destroyed the city hall that was modern and spectacular as it visited the city.,filler2,Did the tornado destroy the auditorium? ,N

F4I6185,The butterfly fluttered her wings while she laid the eggs.,filler2,Did the butterfly flutter her wings? ,Y

F4I7186,Fido gnawed the milk bone that was small and tasty as Dave fed the cat.,filler2,Did Dave feed the cat? ,Y

F4I8187,The camper stirred the beans that were brown and scrumptious while the fire warmed the pot.,filler2,Did the fire warm the house? ,N

F4I9188,The mistress applied lipstick as she rode the bike.,filler2,Did the mistress ride the bike? ,Y

F4I10189,The gymnast hurt her ankle that was twisted and swollen while she completed the vault.,filler2,Did the gymnast complete the vault? ,Y

F4I11190,The professor scolded the student that was conscientious and reliable as they bumped in the hallway.,filler2,Did the professor scold the senator? ,N

F4I12191,The grandma braided the pigtails that were thick and blonde while she groomed the girl.,filler2,Did the grandma braid the pigtails? ,Y

F4I13192,Andrew observed the house that was dark and haunted as the mother baked the cookies.,filler2,Did the mother bake the cookies? ,Y

F4I14193,The exterminator entered the school while the cockroaches scurried.,filler2,Did the exterminator enter the restaurant? ,N

F4I15194,Gary lost the data that was rare and critical as he reformatted his hard drive.,filler2,Did Gary reformat his hard drive? ,Y

F4I16195,Yasmeen memorized the formula that was long and complicated while the instructor erased the board.,filler2,Did the instructor erase the hard drive? ,N

F4I17196,The cowboy branded the cow as he warmed the instrument over the fire.,filler2,Did the cowboy brand the goat? ,N

F4I18197,The mother comforted the toddler that was chubby and scared while the clown handed him a balloon.,filler2,Did the mother comfort the toddler? ,Y

F4I19198,The fireman rescued the kitten as the house burned to the ground.,filler2,Did the fireman rescue the kitten? ,Y

F4I20199,The referee blew the whistle while he noticed the foul.,filler2,Did the referee notice the foul? ,Y

F4I21200,The hostess folded the bedspread that was pink and musty as the guest entered the bedroom.,filler2,Did the hostess fold the bedspread? ,Y

F4I22201,The kids mixed the ingredients while Tim kneaded the dough.,filler2,Did Tim knead the dough? ,Y

F4I23202,The patient threatened suicide as the psychiatrist administered drugs.,filler2,Did the psychiatrist administer drugs? ,Y

F4I24203,The guitarist plucked the guitar that was old and flat while the lovers entered the room.,filler2,Did the guitarist pluck the guitar? ,Y

F4I25204,The toddler wore the pajamas as he went to bed.,filler2,Did the toddler go to bed? ,Y

F4I26205,Mickey watched the parade while the drummer dropped his instrument.,filler2,Did the drummer drop his pants? ,N

F4I27206,The woman cashed the check that was valuable and important as she stopped at the bank.,filler2,Did the woman cash the check? ,Y

F4I28207,The archaeologist dug the pit that was deep and muddy as the supervisor broke the artifact.,filler2,Did the supervisor break the computer? ,N

F4I29208,The wife washed the dishes as the husband did the laundry.,filler2,Did the wife wash the windows? ,N

F4I30209,The class left the building that was large and brick as it formed a line.,filler2,Did the class leave a restaurant? ,N

F4I31210,The bat bit James as he screamed.,filler2,Did the bat bite Kelly? ,N

F4I32211,The truck driver wiped his brow while he removed his shirt.,filler2,Did the truck driver remove his watch? ,N

F4I33212,The pitcher threw the pitch that was low and inside while the batter held the bat.,filler2,Did the batter hold the pipe? ,N

F4I34213,Desmond held the football that was heavy and brown while Kevin took a fall.,filler2,Did Desmond hold the kitten? ,N

F4I35214,Diana requested the painkiller as she began childbirth.,filler2,Did Diana request a hamburger? ,N

F4I36215,Kate bought the vase that was gorgeous and delicate while the shopkeeper earned commission.,filler2,Did Kate buy the picture frame? ,N

F4I37216,The judge addressed the jury that was rude and inattentive as the witness gave the testimony.,filler2,Did the judge address the class? ,N

F4I38217,The blonde wore the bikini while she washed the car.,filler2,Did the blonde wash her hair? ,N

F4I39218,The soldier went to war while the wife worried at home.,filler2,Did the wife worry at home? ,Y

F4I40219,The postman delivered the package that was large and heavy while the neighbor watered the plants.,filler2,Did the neighbor deliver the package? ,N

F4I41220,The construction worker eyed Karen as he poured the cement.,filler2,Did the construction worker weld a bolt? ,N

F4I42221,The carpenter sanded the wood that was light and knotty as Marcia built the bench.,filler2,Did Marcia build the wagon? ,N

F4I43222,The golden retriever buried the bone as he refilled the hole.,filler2,Did the golden retriever bury the toy? ,N

F4I44223,The zookeeper held the snake that was strong and brown as the children touched it.,filler2,Did the children touch a bird? ,N

F4I45224,The consumer contracted salmonella as she ate the hamburger.,filler2,Did the consumer eat the lemon? ,N

F4I46225,The designer earned money while the miniskirt became popular.,filler2,Did the designer lose money? ,N

F4I47226,The bowler whispered a prayer while he threw the ball.,filler2,Did the bowler use a racket? ,N

F4I48227,The boys forgot the books that were heavy and thick as they left for school.,filler2,Did the boys bring their books? ,N

E1I1228,The struggling pupil understood the message was important for his grade.,Ambiguous,Was the message important for the student’s success?,Y
E1I2229,The job applicant emphasized the problems couldn't be resolved by Friday.,Ambiguous,Could the issue be resolved by the end of the work week?,N
E1I3230,The bestselling author wrote the essay was based on autobiographical events.,Ambiguous,Was the essay based on the author’s life?,Y
E1I4231,The curious toddler learned the equations gave her brother a headache.,Ambiguous,Did the equations frustrate her brother?,Y
E1I5232,The abashed publicist confirmed the rumor was started by his daughter.,Ambiguous,Did the publicist’s daughter generate the rumor?,Y
E1I6233,The vehement columnist asserted the belief was drastically misleading the masses.,Ambiguous,Did the columnist think the opinion was correct?,N
E1I7234,The apprentice mechanic maintained the machinery was broken beyond repair.,Ambiguous,Could the machine be fixed?,N
E1I8235,The befuddled foreigner repeated the poem did not make logical sense.,Ambiguous,Did the foreigner understand the poem?,N
E2I1236,The popular cheerleader heard that the story had gone all over school.,Unambiguous,Was the story contained?,N
E2I2237,The school staff printed that the article was stolen from the office.,Unambiguous,Was the article taken from the office?,Y
E2I3238,The absent-minded grandmother forgot that the key was still in her pocket.,Unambiguous,Was the key in a drawer?,N
E2I4239,The ignorant citizen advocated that the strategy would promote nuclear power.,Unambiguous,Did the citizen believe the strategy supported nuclear power?,Y
E2I5240,The adventurous sailor discovered that the wreck contained several rare medicinal plants.,Unambiguous,Were rare plants housed in the wreck?,Y
E2I6241,The aging hippie protested that the policy was started for selfish reasons.,Unambiguous,Was the policy started for compassionate reasons?,N
E2I7242,The enthusiastic manager accepted that the money was intended for her client.,Unambiguous,Was the money for the manager?,N
E2I8243,The tour guide warned that the spectators were scared by ghost sightings.,Unambiguous,Were the observers frightened?,Y
E3I1244,The respected actress suggested the scene had been written very poorly.,Ambiguous,Was the actress satisfied?,N
E3I2245,The train conductor worried the passengers wouldn’t enjoy the long trip.,Ambiguous,Was the trip going to be long?,Y
E3I3246,The angry protestor proved the theory would not be universally accepted.,Ambiguous,Was the theory popular?,N
E3I4247,The naïve politician assumed the burden was not his to carry.,Ambiguous,Was the politician responsible for the problem?,N
E3I5248,The young teacher argued the issue must be discussed in class.,Ambiguous,Was there a topic discussed?,Y
E3I6249,The music reviewer decided the appeal would not attract the band.,Ambiguous,Was the band turned off by the appeal?,Y
E3I7250,The strict manager suspected the workers deserved more discipline than required.,Ambiguous,Were the workers unreliable?,Y
E3I8251,The ruthless outlaw claimed the reward would not be convincing enough.,Ambiguous,Would the outlaw be turned in because of the reward?,N
E4I1252,The nervous candidate believed that the interviewer had asked him interesting questions.,Unambiguous,Did the candidate like the interviewer’s questions?,Y
E4I2253,The brilliant researcher figured that the sum was impossible given the equation.,Unambiguous,Did the equation make the process easier? ,N
E4I3254,The rookie athlete realized that the mistake ruined her chances of winning.,Unambiguous,Would the athlete lose because of the mistake?,Y
E4I4255,The undergraduate student concluded that the lesson would not actually be useful.,Unambiguous,Was there a valuable lesson taught?,N
E4I5256,The defense attorney inferred that the reason would be argued strongly.,Unambiguous,Would the reason be argued well?,Y
E4I6257,The freshman senator indicated that the problem could be fixed through perseverance.,Unambiguous,Was the problem permanent?,N
E4I7258,The auto mechanic admitted that the error was on purpose for money.,Unambiguous,Was the error deceiving?,Y
E4I8259,The appreciative employee implied that the raise would help pay his debts.,Unambiguous,Did the raise disappoint the employee? ,N
E9I1260,The mole who exposed the defector rejected the offer on the spot.,,Did the mole accept the offer?,N
E9I2261,The singer who blamed the organizer cancelled the concert in Los Angeles.,,Did the singer perform in LA?,N
E9I3262,The acrobat who mocked the clown performed the trick at the show.,,Did the acrobat skip the show?,N
E9I4263,The customer who upset the seller forgot the receipt on the counter.,,Did the customer remember the receipt?,N
E9I5264,The partner who introduced the businessman presented the report at the meeting.,,Did the partner miss the meeting?,N
